Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;DF;BRASILIA;PLAYTIME COMBUSTIVEIS E LUBRIFICANTES S/A; 26.464.289/0001-93;QUADRA CSG 16;S/N;LOTE  1                   BLOCO 3;TAGUATINGA SUL (TAGUATINGA);72035-516;DIESEL S10;04/07/2017;3,47;2,86;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;GASOLINA;04/07/2017;3,699;;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;ETANOL;04/07/2017;3,369;;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;DIESEL;04/07/2017;3,239;;R$ / litro;RAIZEN
CO;DF;BRASILIA;LR COMERCIO DE PRODUTOS E DERIVADOS DE PETROLEO LTDA; 24.912.669/0001-18; QNO 15;S/N;LOTE PLL;CEILANDIA;72255-600;DIESEL S10;04/07/2017;3,349;;R$ / litro;RAIZEN
CO;DF;BRASILIA;POSTO DA TORRE EIRELI; 04.473.193/0001-59;SETOR SHS QUADRA 5;S/N;BLOCO F                         PLL;ASA SUL;70315-000;GASOLINA;04/07/2017;3,349;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;POSTO DA TORRE EIRELI; 04.473.193/0001-59;SETOR SHS QUADRA 5;S/N;BLOCO F                         PLL;ASA SUL;70315-000;ETANOL;04/07/2017;3,199;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;POSTO DA TORRE EIRELI; 04.473.193/0001-59;SETOR SHS QUADRA 5;S/N;BLOCO F                         PLL;ASA SUL;70315-000;DIESEL;04/07/2017;3,459;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;POSTO 105 REVENDEDORA DE DERIVADOS DE PETROLEO LTDA; 02.760.928/0001-08;QUADRA SHCN SQ 105 BLOCO A - PAG;S/N;;ASA NORTE;70734-010;GASOLINA;04/07/2017;3,49;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO NOTA 10 LTDA; 00.703.298/0001-04;SHCS SQ 313    PLL 01;42;BLOCO A;ASA SUL;70382-500;GASOLINA;04/07/2017;3,499;3,03;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO NOTA 10 LTDA; 00.703.298/0001-04;SHCS SQ 313    PLL 01;42;BLOCO A;ASA SUL;70382-500;ETANOL;04/07/2017;3,129;2,6352;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO NOTA 10 LTDA; 00.703.298/0001-04;SHCS SQ 313    PLL 01;42;BLOCO A;ASA SUL;70382-500;DIESEL S10;04/07/2017;3,339;2,79;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO DE GASOLINA DOS ANOES LTDA; 00.360.990/0001-79;QUADRA SHC/SUL SQ;315;BLOCO A PLL 01;ASA SUL;70384-010;GASOLINA;04/07/2017;3,599;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
CO;DF;BRASILIA;POSTO DE GASOLINA DOS ANOES LTDA; 00.360.990/0001-79;QUADRA SHC/SUL SQ;315;BLOCO A PLL 01;ASA SUL;70384-010;ETANOL;04/07/2017;3,149;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
